id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,operating_activity,investing_activity,financing_activity,net_cash_flow,net_profit_margin,debt_equity,free_cash_flow
340,BPCL,Mar 2019,298226,283113,15112.0,5.0,2975,1764,3418,12905,34.0,8528,18.0,48.0,419.0,1967.0,36798.0,44839.0,53322.0,136926.0,49315.0,13654.0,24907.0,49050.0,136926.0,332.0,10157.0,-10451.0,207.0,-87.0,2.859576294488073,1.156687733780472,-294.0
341,BPCL,Mar 2020,284572,275597,8975.0,3.0,1393,2637,4080,3652,0.0,3666,7.0,106.0,420.0,1967.0,34565.0,65476.0,48852.0,150860.0,60175.0,17757.0,27029.0,45900.0,150860.0,333.0,7881.0,-11135.0,3583.0,329.0,1.288250425199949,1.792291689477718,-3254.0
342,BPCL,Mar 2021,230171,209170,21001.0,9.0,7489,1723,4334,22432,23.0,17320,37.0,102.0,421.0,2093.0,51462.0,54532.0,52891.0,160978.0,64098.0,17037.0,26768.0,53075.0,160978.0,334.0,23455.0,-2474.0,-13981.0,7000.0,7.524840227483046,1.018242927831202,20981.0
343,BPCL,Mar 2022,346791,327654,19137.0,6.0,4939,2606,5434,16037,27.0,11682,27.0,29.0,422.0,2129.0,49776.0,64534.0,71089.0,187529.0,83901.0,15433.0,23616.0,64578.0,187529.0,335.0,20336.0,-8138.0,-17672.0,-5474.0,3.3685995311297,1.243309893073885,12198.0
344,BPCL,Mar 2023,473187,462288,10899.0,2.0,2036,3745,6369,2821,24.0,2131,5.0,40.0,423.0,2129.0,51393.0,69376.0,65210.0,188109.0,86675.0,16249.0,26778.0,58406.0,188109.0,336.0,12466.0,-7806.0,-4402.0,257.0,0.4503504956814113,1.296214640708494,4660.0
345,BPCL,Mar 2024,448083,404001,44082.0,10.0,3032,4149,6771,36194,26.0,26859,62.0,33.0,424.0,2136.0,73499.0,54599.0,72184.0,202418.0,86798.0,20204.0,26631.0,68785.0,202418.0,337.0,35936.0,-10521.0,-25427.0,-12.0,5.994201967046283,0.7218747934157467,25415.0
346,BPCL,TTM,445601,419046,26554.0,6.0,3037,3640,6996,18955,,13734,32.0,,,,,,,,,,,,,,,,,,3.082129528434631,,
347,BRITANNIA,Mar 2013,6185,5765,421.0,7.0,52,41,73,358,27.0,260,11.0,39.0,426.0,24.0,534.0,380.0,946.0,1883.0,737.0,147.0,108.0,891.0,1883.0,338.0,320.0,28.0,-378.0,-30.0,4.203718674211803,0.6810035842293907,348.0
348,BRITANNIA,Mar 2014,6913,6286,627.0,9.0,34,8,83,569,30.0,395,16.0,36.0,427.0,24.0,774.0,150.0,1159.0,2107.0,848.0,107.0,198.0,954.0,2107.0,339.0,671.0,-246.0,-357.0,68.0,5.713872414291914,0.1879699248120301,425.0
349,BRITANNIA,Mar 2015,7858,6988,870.0,11.0,228,4,144,950,28.0,689,29.0,28.0,428.0,24.0,1221.0,145.0,1403.0,2793.0,844.0,48.0,518.0,1383.0,2793.0,340.0,584.0,-450.0,-181.0,-47.0,8.768134385339781,0.1164658634538153,134.0
